"city","year","weekofyear","total_cases"
"sj",2008,18,5
"sj",2008,19,4
"sj",2008,20,6
"sj",2008,21,5
"sj",2008,22,5
"sj",2008,23,5
"sj",2008,24,5
"sj",2008,25,7
"sj",2008,26,7
"sj",2008,27,7
"sj",2008,28,6
"sj",2008,29,6
"sj",2008,30,7
"sj",2008,31,7
"sj",2008,32,8
"sj",2008,33,9
"sj",2008,34,9
"sj",2008,35,9
"sj",2008,36,11
"sj",2008,37,10
"sj",2008,38,8
"sj",2008,39,8
"sj",2008,40,9
"sj",2008,41,7
"sj",2008,42,7
"sj",2008,43,6
"sj",2008,44,6
"sj",2008,45,7
"sj",2008,46,6
"sj",2008,47,6
"sj",2008,48,5
"sj",2008,49,4
"sj",2008,50,4
"sj",2008,51,5
"sj",2008,52,5
"sj",2009,1,5
"sj",2009,2,5
"sj",2009,3,4
"sj",2009,4,4
"sj",2009,5,5
"sj",2009,6,4
"sj",2009,7,4
"sj",2009,8,4
"sj",2009,9,4
"sj",2009,10,4
"sj",2009,11,6
"sj",2009,12,5
"sj",2009,13,5
"sj",2009,14,5
"sj",2009,15,4
"sj",2009,16,4
"sj",2009,17,5
"sj",2009,18,5
"sj",2009,19,4
"sj",2009,20,4
"sj",2009,21,4
"sj",2009,22,7
"sj",2009,23,6
"sj",2009,24,6
"sj",2009,25,6
"sj",2009,26,7
"sj",2009,27,7
"sj",2009,28,8
"sj",2009,29,8
"sj",2009,30,8
"sj",2009,31,9
"sj",2009,32,7
"sj",2009,33,7
"sj",2009,34,8
"sj",2009,35,9
"sj",2009,36,9
"sj",2009,37,9
"sj",2009,38,8
"sj",2009,39,8
"sj",2009,40,9
"sj",2009,41,9
"sj",2009,42,9
"sj",2009,43,9
"sj",2009,44,8
"sj",2009,45,6
"sj",2009,46,7
"sj",2009,47,7
"sj",2009,48,7
"sj",2009,49,5
"sj",2009,50,6
"sj",2009,51,5
"sj",2009,52,5
"sj",2010,53,5
"sj",2010,1,5
"sj",2010,2,5
"sj",2010,3,4
"sj",2010,4,4
"sj",2010,5,5
"sj",2010,6,5
"sj",2010,7,5
"sj",2010,8,5
"sj",2010,9,7
"sj",2010,10,6
"sj",2010,11,6
"sj",2010,12,7
"sj",2010,13,6
"sj",2010,14,6
"sj",2010,15,5
"sj",2010,16,6
"sj",2010,17,8
"sj",2010,18,8
"sj",2010,19,6
"sj",2010,20,6
"sj",2010,21,8
"sj",2010,22,10
"sj",2010,23,9
"sj",2010,24,8
"sj",2010,25,8
"sj",2010,26,8
"sj",2010,27,9
"sj",2010,28,10
"sj",2010,29,9
"sj",2010,30,8
"sj",2010,31,9
"sj",2010,32,10
"sj",2010,33,9
"sj",2010,34,10
"sj",2010,35,10
"sj",2010,36,10
"sj",2010,37,9
"sj",2010,38,9
"sj",2010,39,8
"sj",2010,40,9
"sj",2010,41,10
"sj",2010,42,8
"sj",2010,43,7
"sj",2010,44,7
"sj",2010,45,8
"sj",2010,46,6
"sj",2010,47,5
"sj",2010,48,5
"sj",2010,49,7
"sj",2010,50,5
"sj",2010,51,5
"sj",2011,52,3
"sj",2011,1,4
"sj",2011,2,4
"sj",2011,3,3
"sj",2011,4,4
"sj",2011,5,3
"sj",2011,6,3
"sj",2011,7,3
"sj",2011,8,3
"sj",2011,9,4
"sj",2011,10,4
"sj",2011,11,5
"sj",2011,12,4
"sj",2011,13,4
"sj",2011,14,5
"sj",2011,15,3
"sj",2011,16,3
"sj",2011,17,4
"sj",2011,18,4
"sj",2011,19,4
"sj",2011,20,6
"sj",2011,21,6
"sj",2011,22,6
"sj",2011,23,7
"sj",2011,24,9
"sj",2011,25,9
"sj",2011,26,8
"sj",2011,27,7
"sj",2011,28,7
"sj",2011,29,7
"sj",2011,30,8
"sj",2011,31,7
"sj",2011,32,9
"sj",2011,33,8
"sj",2011,34,8
"sj",2011,35,8
"sj",2011,36,7
"sj",2011,37,8
"sj",2011,38,7
"sj",2011,39,7
"sj",2011,40,9
"sj",2011,41,7
"sj",2011,42,7
"sj",2011,43,5
"sj",2011,44,7
"sj",2011,45,6
"sj",2011,46,6
"sj",2011,47,5
"sj",2011,48,5
"sj",2011,49,4
"sj",2011,50,4
"sj",2011,51,4
"sj",2012,52,4
"sj",2012,1,4
"sj",2012,2,3
"sj",2012,3,3
"sj",2012,4,3
"sj",2012,5,3
"sj",2012,6,3
"sj",2012,7,3
"sj",2012,8,3
"sj",2012,9,3
"sj",2012,10,3
"sj",2012,11,3
"sj",2012,12,4
"sj",2012,13,3
"sj",2012,14,4
"sj",2012,15,4
"sj",2012,16,4
"sj",2012,17,6
"sj",2012,18,5
"sj",2012,19,4
"sj",2012,20,6
"sj",2012,21,5
"sj",2012,22,5
"sj",2012,23,7
"sj",2012,24,6
"sj",2012,25,7
"sj",2012,26,7
"sj",2012,27,7
"sj",2012,28,7
"sj",2012,29,7
"sj",2012,30,7
"sj",2012,31,7
"sj",2012,32,7
"sj",2012,33,8
"sj",2012,34,7
"sj",2012,35,7
"sj",2012,36,6
"sj",2012,37,7
"sj",2012,38,7
"sj",2012,39,8
"sj",2012,40,8
"sj",2012,41,7
"sj",2012,42,9
"sj",2012,43,8
"sj",2012,44,9
"sj",2012,45,6
"sj",2012,46,7
"sj",2012,47,6
"sj",2012,48,5
"sj",2012,49,5
"sj",2012,50,4
"sj",2012,51,4
"sj",2013,1,5
"sj",2013,2,3
"sj",2013,3,4
"sj",2013,4,3
"sj",2013,5,3
"sj",2013,6,4
"sj",2013,7,4
"sj",2013,8,4
"sj",2013,9,3
"sj",2013,10,5
"sj",2013,11,5
"sj",2013,12,6
"sj",2013,13,5
"sj",2013,14,3
"sj",2013,15,5
"sj",2013,16,4
"sj",2013,17,4
"iq",2010,26,4
"iq",2010,27,4
"iq",2010,28,4
"iq",2010,29,3
"iq",2010,30,4
"iq",2010,31,5
"iq",2010,32,6
"iq",2010,33,6
"iq",2010,34,7
"iq",2010,35,6
"iq",2010,36,6
"iq",2010,37,7
"iq",2010,38,6
"iq",2010,39,7
"iq",2010,40,7
"iq",2010,41,6
"iq",2010,42,6
"iq",2010,43,6
"iq",2010,44,6
"iq",2010,45,6
"iq",2010,46,6
"iq",2010,47,6
"iq",2010,48,6
"iq",2010,49,6
"iq",2010,50,7
"iq",2010,51,7
"iq",2011,52,7
"iq",2011,1,7
"iq",2011,2,7
"iq",2011,3,7
"iq",2011,4,7
"iq",2011,5,7
"iq",2011,6,7
"iq",2011,7,7
"iq",2011,8,6
"iq",2011,9,6
"iq",2011,10,7
"iq",2011,11,7
"iq",2011,12,6
"iq",2011,13,7
"iq",2011,14,6
"iq",2011,15,7
"iq",2011,16,7
"iq",2011,17,7
"iq",2011,18,6
"iq",2011,19,7
"iq",2011,20,7
"iq",2011,21,7
"iq",2011,22,7
"iq",2011,23,7
"iq",2011,24,7
"iq",2011,25,7
"iq",2011,26,7
"iq",2011,27,7
"iq",2011,28,7
"iq",2011,29,7
"iq",2011,30,7
"iq",2011,31,7
"iq",2011,32,7
"iq",2011,33,8
"iq",2011,34,6
"iq",2011,35,7
"iq",2011,36,8
"iq",2011,37,7
"iq",2011,38,7
"iq",2011,39,7
"iq",2011,40,7
"iq",2011,41,7
"iq",2011,42,7
"iq",2011,43,7
"iq",2011,44,7
"iq",2011,45,7
"iq",2011,46,7
"iq",2011,47,6
"iq",2011,48,7
"iq",2011,49,7
"iq",2011,50,7
"iq",2011,51,7
"iq",2012,52,7
"iq",2012,1,7
"iq",2012,2,7
"iq",2012,3,7
"iq",2012,4,7
"iq",2012,5,7
"iq",2012,6,7
"iq",2012,7,7
"iq",2012,8,7
"iq",2012,9,7
"iq",2012,10,7
"iq",2012,11,7
"iq",2012,12,7
"iq",2012,13,7
"iq",2012,14,7
"iq",2012,15,7
"iq",2012,16,7
"iq",2012,17,7
"iq",2012,18,7
"iq",2012,19,7
"iq",2012,20,7
"iq",2012,21,7
"iq",2012,22,8
"iq",2012,23,7
"iq",2012,24,6
"iq",2012,25,7
"iq",2012,26,7
"iq",2012,27,7
"iq",2012,28,7
"iq",2012,29,6
"iq",2012,30,7
"iq",2012,31,7
"iq",2012,32,7
"iq",2012,33,7
"iq",2012,34,6
"iq",2012,35,7
"iq",2012,36,7
"iq",2012,37,7
"iq",2012,38,7
"iq",2012,39,7
"iq",2012,40,7
"iq",2012,41,7
"iq",2012,42,7
"iq",2012,43,7
"iq",2012,44,7
"iq",2012,45,7
"iq",2012,46,7
"iq",2012,47,6
"iq",2012,48,7
"iq",2012,49,7
"iq",2012,50,6
"iq",2012,51,7
"iq",2013,1,7
"iq",2013,2,7
"iq",2013,3,7
"iq",2013,4,7
"iq",2013,5,7
"iq",2013,6,7
"iq",2013,7,7
"iq",2013,8,7
"iq",2013,9,7
"iq",2013,10,7
"iq",2013,11,7
"iq",2013,12,7
"iq",2013,13,7
"iq",2013,14,7
"iq",2013,15,7
"iq",2013,16,7
"iq",2013,17,7
"iq",2013,18,7
"iq",2013,19,7
"iq",2013,20,7
"iq",2013,21,7
"iq",2013,22,7
"iq",2013,23,7
"iq",2013,24,7
"iq",2013,25,8
"iq",2013,26,8
