"city","year","weekofyear","total_cases"
"sj",2008,18,12
"sj",2008,19,11
"sj",2008,20,14
"sj",2008,21,5
"sj",2008,22,10
"sj",2008,23,10
"sj",2008,24,16
"sj",2008,25,20
"sj",2008,26,22
"sj",2008,27,21
"sj",2008,28,17
"sj",2008,29,17
"sj",2008,30,25
"sj",2008,31,20
"sj",2008,32,35
"sj",2008,33,32
"sj",2008,34,34
"sj",2008,35,39
"sj",2008,36,48
"sj",2008,37,46
"sj",2008,38,35
"sj",2008,39,33
"sj",2008,40,39
"sj",2008,41,24
"sj",2008,42,28
"sj",2008,43,24
"sj",2008,44,16
"sj",2008,45,27
"sj",2008,46,23
"sj",2008,47,22
"sj",2008,48,14
"sj",2008,49,8
"sj",2008,50,6
"sj",2008,51,9
"sj",2008,52,12
"sj",2009,1,12
"sj",2009,2,12
"sj",2009,3,7
"sj",2009,4,8
"sj",2009,5,11
"sj",2009,6,6
"sj",2009,7,5
"sj",2009,8,6
"sj",2009,9,6
"sj",2009,10,5
"sj",2009,11,12
"sj",2009,12,9
"sj",2009,13,8
"sj",2009,14,11
"sj",2009,15,6
"sj",2009,16,3
"sj",2009,17,5
"sj",2009,18,6
"sj",2009,19,5
"sj",2009,20,11
"sj",2009,21,12
"sj",2009,22,27
"sj",2009,23,18
"sj",2009,24,16
"sj",2009,25,21
"sj",2009,26,18
"sj",2009,27,20
"sj",2009,28,24
"sj",2009,29,26
"sj",2009,30,29
"sj",2009,31,30
"sj",2009,32,24
"sj",2009,33,27
"sj",2009,34,29
"sj",2009,35,34
"sj",2009,36,29
"sj",2009,37,34
"sj",2009,38,28
"sj",2009,39,27
"sj",2009,40,34
"sj",2009,41,32
"sj",2009,42,36
"sj",2009,43,34
"sj",2009,44,23
"sj",2009,45,19
"sj",2009,46,25
"sj",2009,47,29
"sj",2009,48,32
"sj",2009,49,18
"sj",2009,50,17
"sj",2009,51,16
"sj",2009,52,14
"sj",2010,53,14
"sj",2010,1,13
"sj",2010,2,13
"sj",2010,3,15
"sj",2010,4,13
"sj",2010,5,9
"sj",2010,6,8
"sj",2010,7,12
"sj",2010,8,12
"sj",2010,9,24
"sj",2010,10,22
"sj",2010,11,18
"sj",2010,12,20
"sj",2010,13,13
"sj",2010,14,14
"sj",2010,15,10
"sj",2010,16,19
"sj",2010,17,33
"sj",2010,18,26
"sj",2010,19,21
"sj",2010,20,24
"sj",2010,21,29
"sj",2010,22,48
"sj",2010,23,39
"sj",2010,24,32
"sj",2010,25,38
"sj",2010,26,41
"sj",2010,27,41
"sj",2010,28,45
"sj",2010,29,42
"sj",2010,30,42
"sj",2010,31,37
"sj",2010,32,42
"sj",2010,33,40
"sj",2010,34,43
"sj",2010,35,45
"sj",2010,36,45
"sj",2010,37,45
"sj",2010,38,39
"sj",2010,39,37
"sj",2010,40,42
"sj",2010,41,47
"sj",2010,42,32
"sj",2010,43,21
"sj",2010,44,26
"sj",2010,45,33
"sj",2010,46,20
"sj",2010,47,8
"sj",2010,48,10
"sj",2010,49,21
"sj",2010,50,15
"sj",2010,51,13
"sj",2011,52,0
"sj",2011,1,8
"sj",2011,2,11
"sj",2011,3,7
"sj",2011,4,7
"sj",2011,5,2
"sj",2011,6,2
"sj",2011,7,0
"sj",2011,8,3
"sj",2011,9,3
"sj",2011,10,4
"sj",2011,11,8
"sj",2011,12,2
"sj",2011,13,7
"sj",2011,14,8
"sj",2011,15,0
"sj",2011,16,3
"sj",2011,17,1
"sj",2011,18,9
"sj",2011,19,2
"sj",2011,20,16
"sj",2011,21,28
"sj",2011,22,28
"sj",2011,23,31
"sj",2011,24,46
