city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,5
sj,2008,20,3
sj,2008,21,3
sj,2008,22,4
sj,2008,23,5
sj,2008,24,4
sj,2008,25,5
sj,2008,26,7
sj,2008,27,8
sj,2008,28,12
sj,2008,29,13
sj,2008,30,9
sj,2008,31,16
sj,2008,32,21
sj,2008,33,20
sj,2008,34,24
sj,2008,35,21
sj,2008,36,32
sj,2008,37,27
sj,2008,38,29
sj,2008,39,26
sj,2008,40,34
sj,2008,41,36
sj,2008,42,39
sj,2008,43,31
sj,2008,44,43
sj,2008,45,39
sj,2008,46,38
sj,2008,47,46
sj,2008,48,30
sj,2008,49,32
sj,2008,50,22
sj,2008,51,27
sj,2008,52,27
sj,2009,1,18
sj,2009,2,22
sj,2009,3,23
sj,2009,4,22
sj,2009,5,17
sj,2009,6,7
sj,2009,7,8
sj,2009,8,7
sj,2009,9,5
sj,2009,10,6
sj,2009,11,4
sj,2009,12,7
sj,2009,13,7
sj,2009,14,10
sj,2009,15,8
sj,2009,16,7
sj,2009,17,4
sj,2009,18,4
sj,2009,19,5
sj,2009,20,3
sj,2009,21,3
sj,2009,22,4
sj,2009,23,2
sj,2009,24,4
sj,2009,25,5
sj,2009,26,7
sj,2009,27,10
sj,2009,28,9
sj,2009,29,13
sj,2009,30,11
sj,2009,31,18
sj,2009,32,13
sj,2009,33,20
sj,2009,34,22
sj,2009,35,21
sj,2009,36,26
sj,2009,37,31
sj,2009,38,47
sj,2009,39,38
sj,2009,40,43
sj,2009,41,38
sj,2009,42,40
sj,2009,43,41
sj,2009,44,37
sj,2009,45,37
sj,2009,46,47
sj,2009,47,41
sj,2009,48,32
sj,2009,49,47
sj,2009,50,39
sj,2009,51,50
sj,2009,52,51
sj,2010,53,39
sj,2010,1,30
sj,2010,2,35
sj,2010,3,29
sj,2010,4,24
sj,2010,5,22
sj,2010,6,19
sj,2010,7,18
sj,2010,8,15
sj,2010,9,14
sj,2010,10,15
sj,2010,11,12
sj,2010,12,14
sj,2010,13,10
sj,2010,14,5
sj,2010,15,7
sj,2010,16,7
sj,2010,17,10
sj,2010,18,14
sj,2010,19,11
sj,2010,20,14
sj,2010,21,12
sj,2010,22,11
sj,2010,23,10
sj,2010,24,11
sj,2010,25,12
sj,2010,26,15
sj,2010,27,18
sj,2010,28,20
sj,2010,29,29
sj,2010,30,20
sj,2010,31,32
sj,2010,32,34
sj,2010,33,34
sj,2010,34,40
sj,2010,35,38
sj,2010,36,28
sj,2010,37,28
sj,2010,38,39
sj,2010,39,43
sj,2010,40,31
sj,2010,41,26
sj,2010,42,43
sj,2010,43,49
sj,2010,44,39
sj,2010,45,47
sj,2010,46,43
sj,2010,47,40
sj,2010,48,34
sj,2010,49,38
sj,2010,50,33
sj,2010,51,31
sj,2011,52,25
sj,2011,1,27
sj,2011,2,29
sj,2011,3,17
sj,2011,4,12
sj,2011,5,8
sj,2011,6,3
sj,2011,7,10
sj,2011,8,5
sj,2011,9,9
sj,2011,10,5
sj,2011,11,9
sj,2011,12,7
sj,2011,13,8
sj,2011,14,7
sj,2011,15,6
sj,2011,16,7
sj,2011,17,7
sj,2011,18,4
sj,2011,19,4
sj,2011,20,2
sj,2011,21,4
sj,2011,22,6
sj,2011,23,8
sj,2011,24,6
sj,2011,25,10
sj,2011,26,7
sj,2011,27,11
sj,2011,28,8
sj,2011,29,12
sj,2011,30,16
sj,2011,31,19
sj,2011,32,15
sj,2011,33,31
sj,2011,34,22
sj,2011,35,31
sj,2011,36,32
sj,2011,37,33
sj,2011,38,29
sj,2011,39,35
sj,2011,40,27
sj,2011,41,43
sj,2011,42,32
sj,2011,43,35
sj,2011,44,39
sj,2011,45,33
sj,2011,46,30
sj,2011,47,37
sj,2011,48,44
sj,2011,49,24
sj,2011,50,30
sj,2011,51,32
sj,2012,52,24
sj,2012,1,29
sj,2012,2,23
sj,2012,3,26
sj,2012,4,20
sj,2012,5,19
sj,2012,6,14
sj,2012,7,14
sj,2012,8,6
sj,2012,9,7
sj,2012,10,9
sj,2012,11,10
sj,2012,12,9
sj,2012,13,6
sj,2012,14,5
sj,2012,15,6
sj,2012,16,6
sj,2012,17,5
sj,2012,18,7
sj,2012,19,6
sj,2012,20,7
sj,2012,21,6
sj,2012,22,7
sj,2012,23,11
sj,2012,24,9
sj,2012,25,10
sj,2012,26,8
sj,2012,27,15
sj,2012,28,12
sj,2012,29,26
sj,2012,30,18
sj,2012,31,19
sj,2012,32,24
sj,2012,33,24
sj,2012,34,39
sj,2012,35,45
sj,2012,36,50
sj,2012,37,53
sj,2012,38,46
sj,2012,39,36
sj,2012,40,43
sj,2012,41,40
sj,2012,42,45
sj,2012,43,39
sj,2012,44,35
sj,2012,45,44
sj,2012,46,30
sj,2012,47,40
sj,2012,48,53
sj,2012,49,54
sj,2012,50,46
sj,2012,51,45
sj,2013,1,39
sj,2013,2,36
sj,2013,3,36
sj,2013,4,40
sj,2013,5,38
sj,2013,6,28
sj,2013,7,23
sj,2013,8,18
sj,2013,9,14
sj,2013,10,16
sj,2013,11,10
sj,2013,12,8
sj,2013,13,7
sj,2013,14,9
sj,2013,15,6
sj,2013,16,7
sj,2013,17,4
iq,2010,26,7
iq,2010,27,6
iq,2010,28,7
iq,2010,29,15
iq,2010,30,9
iq,2010,31,12
iq,2010,32,4
iq,2010,33,5
iq,2010,34,13
iq,2010,35,8
iq,2010,36,5
iq,2010,37,7
iq,2010,38,20
iq,2010,39,10
iq,2010,40,23
iq,2010,41,78
iq,2010,42,9
iq,2010,43,42
iq,2010,44,9
iq,2010,45,8
iq,2010,46,8
iq,2010,47,9
iq,2010,48,8
iq,2010,49,13
iq,2010,50,7
iq,2010,51,7
iq,2011,52,10
iq,2011,1,18
iq,2011,2,9
iq,2011,3,9
iq,2011,4,11
iq,2011,5,16
iq,2011,6,13
iq,2011,7,8
iq,2011,8,10
iq,2011,9,5
iq,2011,10,14
iq,2011,11,9
iq,2011,12,9
iq,2011,13,10
iq,2011,14,9
iq,2011,15,9
