"city","year","weekofyear","total_cases"
"sj",2008,18,8
"sj",2008,19,9
"sj",2008,20,16
"sj",2008,21,49
"sj",2008,22,5
"sj",2008,23,12
"sj",2008,24,10
"sj",2008,25,2
"sj",2008,26,3
"sj",2008,27,18
"sj",2008,28,33
"sj",2008,29,38
"sj",2008,30,29
"sj",2008,31,11
"sj",2008,32,22
"sj",2008,33,15
"sj",2008,34,12
"sj",2008,35,55
"sj",2008,36,24
"sj",2008,37,127
"sj",2008,38,15
"sj",2008,39,37
"sj",2008,40,28
"sj",2008,41,32
"sj",2008,42,22
"sj",2008,43,46
"sj",2008,44,130
"sj",2008,45,6
"sj",2008,46,15
"sj",2008,47,18
"sj",2008,48,6
"sj",2008,49,11
"sj",2008,50,11
"sj",2008,51,19
"sj",2008,52,5
"sj",2009,1,27
"sj",2009,2,16
"sj",2009,3,11
"sj",2009,4,18
"sj",2009,5,25
"sj",2009,6,8
"sj",2009,7,43
"sj",2009,8,27
"sj",2009,9,13
"sj",2009,10,12
"sj",2009,11,42
"sj",2009,12,16
"sj",2009,13,15
"sj",2009,14,15
"sj",2009,15,170
"sj",2009,16,29
"sj",2009,17,56
"sj",2009,18,21
"sj",2009,19,26
"sj",2009,20,22
"sj",2009,21,11
"sj",2009,22,4
"sj",2009,23,18
"sj",2009,24,10
"sj",2009,25,17
"sj",2009,26,16
"sj",2009,27,8
"sj",2009,28,11
"sj",2009,29,15
"sj",2009,30,40
"sj",2009,31,18
"sj",2009,32,41
"sj",2009,33,31
"sj",2009,34,30
"sj",2009,35,14
"sj",2009,36,14
"sj",2009,37,17
"sj",2009,38,38
"sj",2009,39,26
"sj",2009,40,29
"sj",2009,41,11
"sj",2009,42,68
"sj",2009,43,48
"sj",2009,44,10
"sj",2009,45,20
"sj",2009,46,7
"sj",2009,47,17
"sj",2009,48,6
"sj",2009,49,5
"sj",2009,50,29
"sj",2009,51,23
"sj",2009,52,4
"sj",2010,53,6
"sj",2010,1,5
"sj",2010,2,13
"sj",2010,3,19
"sj",2010,4,5
"sj",2010,5,25
"sj",2010,6,8
"sj",2010,7,18
