"city","year","weekofyear","total_cases"
"sj",2008,18,4
"sj",2008,19,4
"sj",2008,20,4
"sj",2008,21,4
"sj",2008,22,4
"sj",2008,23,4
"sj",2008,24,4
"sj",2008,25,8
"sj",2008,26,4
"sj",2008,27,4
"sj",2008,28,12
"sj",2008,29,12
"sj",2008,30,12
"sj",2008,31,12
"sj",2008,32,12
"sj",2008,33,23
"sj",2008,34,19
"sj",2008,35,23
"sj",2008,36,33
"sj",2008,37,56
"sj",2008,38,33
"sj",2008,39,19
"sj",2008,40,56
"sj",2008,41,33
"sj",2008,42,33
"sj",2008,43,19
"sj",2008,44,33
"sj",2008,45,56
"sj",2008,46,56
"sj",2008,47,33
"sj",2008,48,56
"sj",2008,49,34
"sj",2008,50,19
"sj",2008,51,23
"sj",2008,52,23
"sj",2009,1,12
"sj",2009,2,19
"sj",2009,3,23
"sj",2009,4,23
"sj",2009,5,12
"sj",2009,6,8
"sj",2009,7,8
"sj",2009,8,4
"sj",2009,9,8
"sj",2009,10,8
"sj",2009,11,4
"sj",2009,12,4
"sj",2009,13,4
"sj",2009,14,12
"sj",2009,15,8
"sj",2009,16,8
"sj",2009,17,8
"sj",2009,18,8
"sj",2009,19,4
"sj",2009,20,4
"sj",2009,21,8
"sj",2009,22,8
"sj",2009,23,4
"sj",2009,24,4
"sj",2009,25,4
"sj",2009,26,8
"sj",2009,27,8
"sj",2009,28,8
"sj",2009,29,12
"sj",2009,30,12
"sj",2009,31,19
"sj",2009,32,19
"sj",2009,33,19
"sj",2009,34,19
"sj",2009,35,19
"sj",2009,36,19
"sj",2009,37,56
"sj",2009,38,56
"sj",2009,39,33
"sj",2009,40,56
"sj",2009,41,56
"sj",2009,42,56
"sj",2009,43,56
"sj",2009,44,33
"sj",2009,45,56
"sj",2009,46,56
"sj",2009,47,56
"sj",2009,48,33
"sj",2009,49,56
"sj",2009,50,56
"sj",2009,51,56
"sj",2009,52,56
"sj",2010,53,56
"sj",2010,1,56
"sj",2010,2,56
"sj",2010,3,19
"sj",2010,4,19
"sj",2010,5,12
"sj",2010,6,12
"sj",2010,7,12
"sj",2010,8,12
"sj",2010,9,12
"sj",2010,10,12
"sj",2010,11,12
"sj",2010,12,12
"sj",2010,13,12
"sj",2010,14,4
"sj",2010,15,8
"sj",2010,16,4
"sj",2010,17,12
"sj",2010,18,19
"sj",2010,19,12
"sj",2010,20,12
"sj",2010,21,19
"sj",2010,22,12
"sj",2010,23,8
"sj",2010,24,8
"sj",2010,25,12
"sj",2010,26,23
"sj",2010,27,19
"sj",2010,28,19
"sj",2010,29,56
"sj",2010,30,19
"sj",2010,31,34
"sj",2010,32,34
"sj",2010,33,56
"sj",2010,34,33
"sj",2010,35,33
"sj",2010,36,34
"sj",2010,37,34
"sj",2010,38,56
"sj",2010,39,33
"sj",2010,40,34
"sj",2010,41,34
"sj",2010,42,56
"sj",2010,43,33
"sj",2010,44,56
"sj",2010,45,56
"sj",2010,46,33
"sj",2010,47,33
"sj",2010,48,56
"sj",2010,49,56
"sj",2010,50,34
"sj",2010,51,23
"sj",2011,52,23
"sj",2011,1,19
"sj",2011,2,23
"sj",2011,3,12
"sj",2011,4,8
"sj",2011,5,8
"sj",2011,6,8
"sj",2011,7,12
"sj",2011,8,4
"sj",2011,9,8
"sj",2011,10,4
"sj",2011,11,12
"sj",2011,12,4
"sj",2011,13,4
"sj",2011,14,8
"sj",2011,15,4
"sj",2011,16,4
"sj",2011,17,8
"sj",2011,18,8
"sj",2011,19,4
"sj",2011,20,4
"sj",2011,21,4
"sj",2011,22,4
"sj",2011,23,4
"sj",2011,24,8
"sj",2011,25,8
"sj",2011,26,8
"sj",2011,27,12
"sj",2011,28,8
"sj",2011,29,12
"sj",2011,30,19
"sj",2011,31,23
"sj",2011,32,19
"sj",2011,33,34
"sj",2011,34,34
"sj",2011,35,34
"sj",2011,36,34
"sj",2011,37,34
"sj",2011,38,23
"sj",2011,39,34
"sj",2011,40,34
"sj",2011,41,56
"sj",2011,42,34
"sj",2011,43,34
"sj",2011,44,56
"sj",2011,45,34
"sj",2011,46,34
"sj",2011,47,56
"sj",2011,48,56
"sj",2011,49,34
"sj",2011,50,19
"sj",2011,51,56
"sj",2012,52,19
"sj",2012,1,23
"sj",2012,2,23
"sj",2012,3,23
"sj",2012,4,23
"sj",2012,5,23
"sj",2012,6,8
"sj",2012,7,12
"sj",2012,8,8
"sj",2012,9,8
"sj",2012,10,8
"sj",2012,11,8
"sj",2012,12,8
"sj",2012,13,8
"sj",2012,14,8
"sj",2012,15,4
"sj",2012,16,4
"sj",2012,17,4
"sj",2012,18,8
"sj",2012,19,4
"sj",2012,20,8
"sj",2012,21,8
"sj",2012,22,8
"sj",2012,23,12
"sj",2012,24,12
"sj",2012,25,12
"sj",2012,26,8
"sj",2012,27,23
"sj",2012,28,12
"sj",2012,29,23
"sj",2012,30,19
"sj",2012,31,12
"sj",2012,32,19
"sj",2012,33,19
"sj",2012,34,33
"sj",2012,35,56
"sj",2012,36,56
"sj",2012,37,33
"sj",2012,38,56
"sj",2012,39,56
"sj",2012,40,56
"sj",2012,41,56
"sj",2012,42,56
"sj",2012,43,56
"sj",2012,44,33
"sj",2012,45,56
"sj",2012,46,23
"sj",2012,47,56
"sj",2012,48,33
"sj",2012,49,56
"sj",2012,50,56
"sj",2012,51,56
"sj",2013,1,56
"sj",2013,2,56
"sj",2013,3,56
"sj",2013,4,56
"sj",2013,5,56
"sj",2013,6,56
"sj",2013,7,12
"sj",2013,8,12
"sj",2013,9,8
"sj",2013,10,12
"sj",2013,11,8
"sj",2013,12,8
"sj",2013,13,8
"sj",2013,14,8
"sj",2013,15,4
"sj",2013,16,8
"sj",2013,17,4
"iq",2010,26,3
"iq",2010,27,11
"iq",2010,28,10
"iq",2010,29,5
"iq",2010,30,3
"iq",2010,31,3
"iq",2010,32,10
"iq",2010,33,8
"iq",2010,34,5
"iq",2010,35,8
"iq",2010,36,8
"iq",2010,37,3
"iq",2010,38,2
"iq",2010,39,8
"iq",2010,40,8
"iq",2010,41,5
"iq",2010,42,2
"iq",2010,43,5
"iq",2010,44,8
"iq",2010,45,8
"iq",2010,46,2
"iq",2010,47,18
"iq",2010,48,2
"iq",2010,49,10
"iq",2010,50,10
"iq",2010,51,10
"iq",2011,52,10
"iq",2011,1,11
"iq",2011,2,10
"iq",2011,3,3
"iq",2011,4,11
"iq",2011,5,3
"iq",2011,6,18
"iq",2011,7,10
"iq",2011,8,2
"iq",2011,9,10
"iq",2011,10,10
"iq",2011,11,6
"iq",2011,12,10
"iq",2011,13,10
"iq",2011,14,2
"iq",2011,15,5
"iq",2011,16,10
"iq",2011,17,3
"iq",2011,18,3
"iq",2011,19,10
"iq",2011,20,2
"iq",2011,21,8
"iq",2011,22,3
"iq",2011,23,18
"iq",2011,24,18
"iq",2011,25,10
"iq",2011,26,8
"iq",2011,27,18
"iq",2011,28,2
"iq",2011,29,8
"iq",2011,30,8
"iq",2011,31,1
"iq",2011,32,8
"iq",2011,33,8
"iq",2011,34,2
"iq",2011,35,2
"iq",2011,36,8
"iq",2011,37,2
"iq",2011,38,2
"iq",2011,39,5
"iq",2011,40,2
"iq",2011,41,8
"iq",2011,42,8
"iq",2011,43,8
"iq",2011,44,10
"iq",2011,45,10
"iq",2011,46,2
"iq",2011,47,2
"iq",2011,48,5
"iq",2011,49,5
"iq",2011,50,6
"iq",2011,51,18
"iq",2012,52,5
"iq",2012,1,10
"iq",2012,2,18
"iq",2012,3,10
"iq",2012,4,10
"iq",2012,5,2
"iq",2012,6,3
"iq",2012,7,10
"iq",2012,8,2
"iq",2012,9,3
"iq",2012,10,6
"iq",2012,11,10
"iq",2012,12,1
"iq",2012,13,1
"iq",2012,14,2
"iq",2012,15,3
"iq",2012,16,1
"iq",2012,17,1
"iq",2012,18,8
"iq",2012,19,10
"iq",2012,20,34
"iq",2012,21,8
"iq",2012,22,3
"iq",2012,23,18
"iq",2012,24,5
"iq",2012,25,10
"iq",2012,26,8
"iq",2012,27,6
"iq",2012,28,1
"iq",2012,29,8
"iq",2012,30,8
"iq",2012,31,1
"iq",2012,32,8
"iq",2012,33,1
"iq",2012,34,3
"iq",2012,35,5
"iq",2012,36,2
"iq",2012,37,8
"iq",2012,38,34
"iq",2012,39,34
"iq",2012,40,5
"iq",2012,41,5
"iq",2012,42,2
"iq",2012,43,8
"iq",2012,44,5
"iq",2012,45,34
"iq",2012,46,5
"iq",2012,47,2
"iq",2012,48,10
"iq",2012,49,10
"iq",2012,50,10
"iq",2012,51,18
"iq",2013,1,10
"iq",2013,2,10
"iq",2013,3,6
"iq",2013,4,11
"iq",2013,5,11
"iq",2013,6,18
"iq",2013,7,8
"iq",2013,8,11
"iq",2013,9,11
"iq",2013,10,10
"iq",2013,11,2
"iq",2013,12,10
"iq",2013,13,8
"iq",2013,14,8
"iq",2013,15,11
"iq",2013,16,8
"iq",2013,17,2
"iq",2013,18,6
"iq",2013,19,3
"iq",2013,20,18
"iq",2013,21,18
"iq",2013,22,8
"iq",2013,23,6
"iq",2013,24,2
"iq",2013,25,11
"iq",2013,26,6
